"name","phone","website","email","email_status","address","latitude","longitude","rating","rating_count","category","search_term","search_type","search_location","url"
"Manvi Aircon","+91 97174 35636",,"","","near Chamunda Mandir, Sector 2, Patwari, Greater Noida, Uttar Pradesh 201318, India",28.5773331,77.4474708,4,"33","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Manvi+Aircon/data=!4m7!3m6!1s0x390cee954b8c0c87:0x2ec58332f4f50016!8m2!3d28.5773331!4d77.4474708!16s%2Fg%2F11gdp_wf77!19sChIJhwyMS5XuDDkRFgD19DKDxS4?authuser=0&hl=en&rclk=1"
"Bharat Car Ac",,,"","","Main Dadri road, road, Kulesara, Haldwani, Uttar Pradesh 201306, India",28.5326036,77.4390373,5,"1","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Bharat+Car+Ac/data=!4m7!3m6!1s0x390ce9006db2838d:0xf6712cd56ed96305!8m2!3d28.5326036!4d77.4390373!16s%2Fg%2F11z7t3h31v!19sChIJjYOybQDpDDkRBWPZbtUscfY?authuser=0&hl=en&rclk=1"
"Sahil Refrigeration & ac spare parts","+91 88828 05852",,"","","shop no 6, Ms Lele Markeet, Stellar Jevan apartment gate no 4, Aimnabad, Bisrakh Jalalpur, Uttar Pradesh 201306, India",28.5658718,77.4468542,4,"23","Electrical repair shop","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Sahil+Refrigeration+%26+ac+spare+parts/data=!4m7!3m6!1s0x390cef53ed82462b:0x2fe7f03631639f5d!8m2!3d28.5658718!4d77.4468542!16s%2Fg%2F11ghs2qxqm!19sChIJK0aC7VPvDDkRXZ9jMTbw5y8?authuser=0&hl=en&rclk=1"
"City refrigeration","+91 80574 28063",,"","","Shop No.8, Badmi market, near by yatharth hospital.gratar, sector.1, Garatar, Bisrakh Jalalpur, Noida, Bisrakh Jalalpur, Uttar Pradesh 201318, India",28.5685119,77.4337127,4.3,"35","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/City+refrigeration/data=!4m7!3m6!1s0x390cef277664e361:0x4d1a169da84f751e!8m2!3d28.5685119!4d77.4337127!16s%2Fg%2F11rnk1f_vr!19sChIJYeNkdifvDDkRHnVPqJ0WGk0?authuser=0&hl=en&rclk=1"
"Divyansh ji Electricals Deal in AC on rent andOld AC sell and purchase","+91 98704 07100",,"","","Baba indane gas agency, Land mark, 130m Noida Greater Noida link road, Sector 3 Rd, Khairpur Gurjar, Knowledge Park V, Greater Noida, Uttar Pradesh 201306, India",28.571048,77.4678681,5,"25","Air conditioning store","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Divyansh+ji+Electricals+Deal+in+AC+on+rent+andOld+AC+sell+and+purchase/data=!4m7!3m6!1s0x390cef746c2a6e7f:0x9542730f228059d2!8m2!3d28.571048!4d77.4678681!16s%2Fg%2F11vzyhhbc9!19sChIJf24qbHTvDDkR0lmAIg9zQpU?authuser=0&hl=en&rclk=1"
"Aahan Airpool, AC, LED/LCD TV, Fridge, Geyser, Washing Machine",,,"","","Shop Number 15, Market, Aahan Airpool, Sector 1, Bisrakh Jalalpur, Greater Noida, Uttar Pradesh 201318, India",28.5767359,77.4378205,5,"6","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Aahan+Airpool,+AC,+LED%2FLCD+TV,+Fridge,+Geyser,+Washing+Machine/data=!4m7!3m6!1s0x390cef00783ccc17:0x84a6e6c0f17411ed!8m2!3d28.5767359!4d77.4378205!16s%2Fg%2F11zjl1bk1l!19sChIJF8w8eADvDDkR7RF08cDmpoQ?authuser=0&hl=en&rclk=1"
"Haniya Ac Repair And Service",,,"","","Gurukul shanti dham ashram, Modipon Vihar, Sector 14, Kaushambi, Ghaziabad, Uttar Pradesh 201010, India",28.6382927,77.3266067,5,"6","Home health care service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Haniya+Ac+Repair+And+Service/data=!4m7!3m6!1s0x390cfb00d4b32231:0x7cd3cbc2dda79a5f!8m2!3d28.6382927!4d77.3266067!16s%2Fg%2F11npyjkjvl!19sChIJMSKz1AD7DDkRX5qn3cLL03w?authuser=0&hl=en&rclk=1"
"S K COOL WORK - AC Repair","+91 98118 72664",,"","","44/5/2, near sai mandir, East Laxmi Market, East Guru Angad Nagar, Swasthya Vihar, New Delhi, Delhi, 110092, India",28.641889,77.2842913,4.8,"207","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/S+K+COOL+WORK+-+AC+Repair/data=!4m7!3m6!1s0x390cfdfac946eb9f:0xc56a43341c990c17!8m2!3d28.641889!4d77.2842913!16s%2Fg%2F11q947lrg8!19sChIJn-tGyfr9DDkRFwyZHDRDasU?authuser=0&hl=en&rclk=1"
"Muskan Air Conditioning Systems | AC Service and Repair | AC Gas Filling and leak fix | AC Installation | HVAC Contracts","+91 98710 78415",,"","","21, D D A Market, Swasthya Vihar, New Delhi, Delhi 110092, India",28.6410432,77.2910721,4.9,"179","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Muskan+Air+Conditioning+Systems+%7C+AC+Service+and+Repair+%7C+AC+Gas+Filling+and+leak+fix+%7C+AC+Installation+%7C+HVAC+Contracts/data=!4m7!3m6!1s0x390cfb56f7ea77db:0x743fdec8cddf0287!8m2!3d28.6410432!4d77.2910721!16s%2Fg%2F1vtqtgrp!19sChIJ23fq91b7DDkRhwLfzcjeP3Q?authuser=0&hl=en&rclk=1"
"Sejal Enterprises (AC Services)fridge repir vrv ac sarvices washing Machine repair fully automatic","+91 99903 39109",,"","","A-435, Durga Gali, Buddha Marg, Mandawali, Delhi, 110092, India",28.6252751,77.2943563,4.8,"82","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Sejal+Enterprises+%28AC+Services%29fridge+repir+vrv+ac+sarvices+washing+Machine+repair+fully+automatic/data=!4m7!3m6!1s0x390ce55989f818c1:0x6b74893df5280a64!8m2!3d28.6252751!4d77.2943563!16s%2Fg%2F11jn64r8_6!19sChIJwRj4iVnlDDkRZAoo9T2JdGs?authuser=0&hl=en&rclk=1"
